"","Sst","Pvalb","Vip","Lamp5","Sncg","Sst.Chodl","Sst.Chodl.Sncg.4","Sst.Sncg.3","Sst.Pvalb.1","Lamp5.Sncg.2","Vip.Sncg.1"
"FOXG1",-6.46152642455619,-7.50997258169439,-5.49193545654268,-2.45097949868449,-6.38469358971571,-6.70442274586166,-7.24415312867568,-13.7272802607955,-9.20003811706544,-4.44299924247913,-6.88530960258274
"Foxj2",-4.3410789743274,-7.63512637113753,-7.76722540841014,-3.96844379120267,-7.69522212369841,-6.15639752475219,-6.6780312644398,-13.3650248692341,-7.58690473177419,-6.53669636560361,-8.42924335007156
"Gmeb1",0.0788860049012092,-1.59262880968425,-2.14872659850127,0.310789662470732,-2.24096604858582,0.0341308396774867,-0.025939283731124,-0.987343136158069,-1.00889409321088,-0.415247222852438,-2.30939728702846
"LIN54",-5.12912382613642,-7.88901264034972,-7.81986138751147,-7.61624526046224,-8.26490331118821,-7.29056246835215,-8.05090340895792,-18.6987990099894,-8.62529608468096,-10.2852968425876,-9.38894626659127
"Mlxip",-2.67149888314871,-2.98927832341221,2.05659862938805,0.387238735870525,-0.0684249017537866,-2.27081009244538,-2.38664271708305,-3.89263857542322,-3.85037175657344,0.460508804890602,1.32584669742455
"NFATC1",-5.90047282333822,-2.53264309361563,-11.1818621767613,-6.57011606817251,-12.0750218655404,-10.284953992971,-10.8021202785249,-16.0799747864715,-5.53429825706626,-9.78727043511965,-13.2111995865632
"NFATC3",-5.48360898861456,-2.58322520914587,-10.0169758929466,-7.01077083197053,-11.1065728808557,-9.88034241722002,-10.4707430371792,-16.8164229094695,-5.3710520158759,-10.466634330696,-11.7692417038988
"Npas2",-3.72488273532511,-4.17093114411944,4.39775632617257,-1.07038693673626,0.771280231633643,-2.68693987303121,-2.92239656495893,-6.11619169185511,-4.97445911908522,-0.459272001639377,2.90059648438582
"POU6F1",-15.451525234558,-9.03503946791439,-0.341900654416501,-2.95145526084455,1.12759428628177,-15.059932134992,-15.7884037771146,-22.9682804560811,-15.555173352458,-3.85555291938498,-0.196528228319692
"SHOX",-10.6581149503229,-5.93250123966905,-0.652493214481067,-1.08759575318395,0.588278611759609,-9.87716725745674,-10.3296461483472,-14.9289858134842,-11.0402267101183,-1.83632375022549,-0.422995414969383
"Ar",-6.51390606656321,-2.6718511868995,0.665976531689927,-2.75548127796862,-1.61472182626296,-7.00387847985824,-7.34366661004571,-10.7156828094202,-6.42992847656745,-3.26101423456249,-0.576369726368358
"BHLHE41",0.335264259194865,-2.14747274647929,1.31847074207239,0.493148939917721,0.901823892503931,0.818266657795112,0.778117303644278,0.0858110920496735,-1.09187494461351,0.859258529415586,1.28050440386757
"CENPB",2.33079359094941,-3.11827406447348,0.484519092133096,0.245201415161402,0.577425971121777,3.19211538427789,3.15487082883483,2.08507360607627,-0.520276852184469,0.466904332693467,0.599481972500429
"CREB3",-0.846313988435334,-3.05877899702439,-0.84200379988519,1.31911854848695,-0.241477630974585,0.266364236285716,0.194674188653796,-1.00485167443058,-2.36435293862088,1.01674594568805,-0.487365081966959
"DBP",-1.4131170412305,-1.52143069480997,-9.85657523521153,2.09257046533902,-6.98476528028395,-7.183172631672,-7.2476943867258,-6.62422300515166,-2.0012250650209,-0.538486405120994,-9.06897338044046
"ELF4",2.32424731354998,-1.93972458883249,-3.1738913719781,-1.95386189645009,-4.26804891660085,4.39772167138804,4.26530897239203,1.51390638406588,0.19199348506627,-2.71641139125034,-4.0403075080334
"Esrrg",-5.42561187309729,10.4562160738444,-7.74361936818047,-10.1058960630637,-9.56721581554523,-9.84406749541813,-10.0653005552852,-11.6471645307639,2.74866473811092,-11.9634360734334,-9.99212286354927
"ETV6",1.47769780813154,-1.50447018423313,-4.29788436925748,-2.78090087595501,-4.63147435907776,1.97056712485997,1.81693276120704,-0.953618450398012,-0.126196172852449,-3.76800635477791,-4.90785682533281
"FLI1",0.229165170670779,0.211675824328064,-1.99257609312725,-2.14884757594701,-3.52131182350845,0.847539313936104,0.753342854697619,-0.735477617667484,0.215717129834292,-2.92271652034137,-2.90930435801553
"FOXO3",-1.04535279953218,-4.62679731665535,-6.15502831061107,-3.99787897516449,-6.70067555177566,-2.36865043264929,-2.69641882247408,-7.43540592593316,-3.69673119054005,-6.02841779125675,-7.0965633999987
"GRHL1",-1.1798742944449,-3.08402816245914,-4.09071320750989,-5.45937100614418,-7.2155233484591,-1.33179356030556,-1.63603763990329,-6.23817044593749,-2.99005798460902,-7.00661242250128,-6.30264552074335
"HINFP",6.60078587704005,-5.79300509778505,1.70625196228007,0.942976346155093,0.760898646419304,10.1052690315402,10.1254559337581,8.79057596389481,1.39434504340166,1.73101670833165,1.49070179382272
"HNF1A",-9.97548376549216,-4.35602255915381,-3.55962551091696,-1.85307778439986,-2.44999558058519,-9.91918327156739,-10.3089489009238,-14.483567624632,-9.62213309749824,-3.28379065758556,-3.62929923759158
"HNF1B",-10.3323316510052,-2.40379840275502,-2.51731039889139,-1.57169146583692,-1.85307833567727,-12.2683367799157,-12.783004450156,-17.5187573444783,-7.419313956623,-2.61091922508185,-2.51811378646792
"HSF1",-7.0527072480844,-3.70228623391089,-3.93663374192612,-1.48375890057687,-4.04211672059689,-6.75273760473415,-7.18736157892948,-12.1124167579824,-6.82938672248416,-2.92624580937665,-4.44440662216605
"IRF9",-4.65246321286014,-3.86075193316619,-11.6434875588569,-1.63638388147349,-9.5581926844679,-6.31978083748072,-6.7578174010751,-12.8741913739054,-5.73686106837901,-4.65108513847536,-11.6459277108182
"JDP2",-0.865061866914569,1.41319961195392,-1.65941126583181,-17.6438764541444,-18.1043965849692,-1.12903992185104,-1.8355984216707,-11.8657968389814,-0.186297074137179,-19.3343737488863,-10.7550055437445
"KLF13",-0.504039803755534,-6.98939426497594,1.23917192777702,3.01699850244673,2.47238233284907,2.38637047477885,2.27932931860932,0.321672357087937,-4.35967167072239,3.34289979118886,2.08713026122023
"LHX6",-8.39806402615894,-3.09510191768988,0.190364550737639,-0.688432792121105,1.94978562043497,-7.57825841897424,-7.8702207444109,-10.90609916158,-7.86923167757994,-0.990714028712398,0.813898316821931
"MEOX1",-8.37350005782933,-2.88036260128747,-1.28209569226004,-2.06854924545269,0.071782720107428,-9.66807885915449,-10.0189355917546,-13.3070061287131,-7.09206789657513,-2.83334942119653,-1.05263035076999
"MLX",0.869026634083724,-2.31833923046235,-0.567261414159715,0.0500587958091619,-0.659310399044319,1.3494937379724,1.28924755567814,0.191763690438277,-0.914283786243573,-0.112542068363765,-0.643468096650422
"MLXIPL",0.0832319589352477,-2.22536418319626,-0.302949733474511,-0.458731551599868,-0.215218148526342,0.347156529521975,0.277588219246769,-0.857060735527028,-1.31100068068778,-0.568279773533049,-0.335781864089792
"NFIA",-17.6926341283478,-12.5586706164384,0.480316700955274,10.335352064975,4.54064695452453,-18.9592023764075,-19.1752124009261,-19.1703234677088,-20.2570992352059,9.30727450692334,3.18372260353483
"NFIX",-23.2241697647667,-11.3933981238522,7.18652545399325,9.4368405604818,11.2514970328582,-21.2155516128074,-21.6733479037781,-23.5786060195107,-20.927780452924,9.65879492966927,10.1327402069405
"Nr2e1",-3.51808736347824,2.74614455067886,-12.1112614991945,-6.01864287971262,-11.7787589721346,-5.05569820976032,-5.42844160654144,-10.4255578473668,-0.716528241625166,-9.1201690192786,-13.1930577493612
"Nr2f6",-6.85267735447312,3.49466894772395,-5.66570221515517,-7.73225294034502,-8.86408281390603,-9.03044706010884,-9.48703560514103,-13.8581411791861,-2.01310405513571,-10.3314976533659,-8.31669185182393
"PAX7",-10.6233606612423,-4.17091205562829,-0.316993864259363,-0.652036897299287,0.300100332445134,-10.40170115713,-10.8489312555775,-15.2324630660798,-9.16493891245577,-1.2844564971926,-0.184937307495695
"Rxra",-3.6860524509785,2.10977509561994,-3.61697411330246,-4.79597402879749,-6.34819105545478,-4.63198386276945,-4.91909839151851,-8.56941989495223,-1.04399505975913,-5.96653617358721,-5.58177302807859
