"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"HEY1",-2.03687393195339,1.41537674925238,0.512200464281642,0.360393266717865,1.08374275811682,-0.254595962538475,-1.0230161836321,0.660082101852047,1.40506248121141
"MAX",0.00261361649729706,1.0455059904277,-0.4560357869187,0.209788830063268,-0.631799147452086,-0.227861977326514,-0.426334631404615,0.215860837334334,0.180370111513386
"MNT",-0.18160076839821,1.46957795663748,-0.929780224282892,0.391736104152002,-0.19966421786578,-0.686001723578527,-1.06981912783579,0.468364330841335,0.639805754615766
"OLIG1",1.99627178932638,-2.22118457667718,-0.890084318072842,-0.768384959139685,-1.05503709385624,-0.89748395628997,0.503787403974265,-1.2458159175707,-1.81192014374513
"ATF7",-0.678639746313014,0.96558355639956,1.10093469006741,-0.302430894622862,-1.3562619144456,0.345706505155659,0.768806432823765,-0.3458701758325,-0.376394944016079
"CEBPG",-0.616793143774377,-1.36805791606496,2.61128501189208,-0.8445461358854,-1.66974866264317,0.736941422686717,1.96059027498161,-1.20280011197807,-1.7641759750828
"CREB3L1",-1.2221985073,1.1817404646196,-1.17754354305299,0.896406187016251,1.37779152907262,-0.702735674319273,-1.97993502503221,1.12229296843763,1.5100945242671
"Creb5",0.215187393006455,-0.615453275345682,0.446010538002898,0.0296113692557019,-1.61022222519903,0.284692109693848,0.58893967988965,-0.274823423750329,-1.28270452694962
"Mafb",3.59238189259021,-5.85429221895382,1.10425242376076,-1.94931715531748,-4.63446741121355,-0.151790150288251,3.82750081730878,-2.93419685275855,-5.96649928445735
"NFE2",1.11503139850888,-5.9057276158992,5.84116922090528,-5.10327452671278,-3.77677517409674,-0.764747848039158,6.16804229316155,-5.59355076319757,-5.56596850010674
"TEF",0.931957552525993,-2.11237406013151,0.273661199402561,0.161905798493911,-1.60385702439196,0.555894125330938,0.950555033229887,-0.320141130714929,-2.02088583248149
"XBP1",-1.80532512473434,-0.151657308716613,1.68565461010481,-0.392852068064147,0.0147406001241208,0.288869078286086,0.631370356467237,-0.34458147996227,-0.100223685188011
"FOXO4",0.333166263280255,-2.68933097235604,3.03871500652006,-2.52835316387574,-3.84954374352322,-0.529706050303248,3.1814582705992,-3.25597644218334,-3.93101686659976
"FOXO6",0.11573236029634,-2.22368742348125,2.83250903938371,-1.88466127542473,-4.03717657986298,-0.572001436656912,2.80431962889188,-2.47121602275755,-3.65254641986966
"FOXP3",0.0165529227787083,-2.19599338268154,2.76616978404335,-1.85203489750678,-3.82337548886539,-0.219984751467803,2.81769012621167,-2.55999312329995,-3.68470885581516
"Foxj3",0.0116123746126015,0.290200641697411,1.06986700846451,-0.147827893971614,-3.68581971886531,0.539783695983349,1.08630978443545,-0.602756042779263,-2.11476471675127
"Alx4",-1.29702672365718,1.00106431557627,-1.18697436484678,1.41713846978482,1.22296954972549,-0.222829966557633,-2.06824067662469,1.54008650586361,1.41280212041353
"RXRB",1.30695728280421,0.0699930420906348,-1.58869019505385,-0.802321658293343,-0.35043357360651,-1.79653370957916,-0.534282212348038,-0.786028353492168,-0.254571746029261
"RXRG",1.28924702630827,-0.591814119519768,-1.07064563840086,-1.07063940072028,-0.66187202649948,-1.79763921682412,-0.256062739125377,-1.16657937946251,-0.790195395718053
"Rarb",4.5573961044985,-1.45351664293254,-4.74014406131571,-1.66006422980235,-0.699369889951443,-3.96958033557552,-1.24737045825288,-1.87576763747198,-1.33825175930751
"Rarg",1.56967164944376,-2.39917689509803,-1.8780452429506,-2.37082624601736,1.06485070303336,-4.29725240234499,-1.00559283311343,-2.31783762775791,-0.947221024060015
