"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AFAP1.1",1.56983386006693e-15,-0.556647563725143,0.043,0.113,3.61909498099831e-11,"oRG","AFAP1"
"SOGA1.1",1.89840661554637e-15,-0.608793231407901,0.047,0.116,4.37658661148061e-11,"oRG","SOGA1"
"RPS16.1",1.94949211260885e-15,-0.442034114725208,0.709,0.672,4.49435911640844e-11,"oRG","RPS16"
"NOL4.1",2.7860510885374e-15,-0.584530396414445,0.043,0.11,6.42296217951412e-11,"oRG","NOL4"
"REEP1.1",2.88784300320923e-15,-0.760065860564865,0.138,0.217,6.65763325959855e-11,"oRG","REEP1"
"SS18L1.1",3.02989785458048e-15,-0.598504583690692,0.06,0.132,6.98512651394985e-11,"oRG","SS18L1"
"FMNL2.1",3.10578321553661e-15,-0.669918321976081,0.12,0.201,7.1600726250981e-11,"oRG","FMNL2"
"RPL7.1",3.21471237233615e-15,-0.361906186908576,0.784,0.738,7.41119790318376e-11,"oRG","RPL7"
"PPP2R5E.1",3.41986752785989e-15,-0.76977793406383,0.239,0.314,7.88416259872818e-11,"oRG","PPP2R5E"
"RPS3.1",3.48626933702308e-15,-0.372699668713365,0.77,0.731,8.03724532957301e-11,"oRG","RPS3"
"NUAK1.1",3.61702778581202e-15,-0.697369560882077,0.068,0.141,8.33869585741103e-11,"oRG","NUAK1"
"THRA.1",3.68743639635757e-15,-0.718067666488782,0.156,0.234,8.50101586816275e-11,"oRG","THRA"
"CCNG2",3.74922410691552e-15,-0.692853362547849,0.129,0.21,8.64346125608303e-11,"oRG","CCNG2"
"RPS5",3.85819640184253e-15,-0.476604524218504,0.677,0.653,8.89468598480777e-11,"oRG","RPS5"
"RTF1.1",5.35350796360754e-15,-0.684761507184663,0.444,0.479,1.23419772593008e-10,"oRG","RTF1"
"LRRTM2.1",7.80211471726429e-15,-0.713611813819756,0.1,0.175,1.79869952691811e-10,"oRG","LRRTM2"
"ANKRD12.1",1.23915497902405e-14,-0.693106684598552,0.531,0.535,2.85674788864204e-10,"oRG","ANKRD12"
